account,last_name,middle_name,name
cory.qa,Moore,,Rory
cristian.qa,Moore,,Rory
curriculum,Moore,,Rory
dana.qa,Moore,,Rory
erika.qa,Moore,,Rory
executeonly,Moore,,Rory
guardian,Moore,,Rory
highlevel,Moore,,Rory
juan.qa,Moore,,Rory
kim.qa,Moore,,Rory
lowlevel,Moore,,Rory
master.qa,Moore,,Rory
Max,Moore,,Rory
mediumlevel,Moore,,Rory
Pato,Moore,,Rory
patrick,Moore,,Rory
priya.qa,Moore,,Rory
priya.user,Moore,,Rory
usermanager,Moore,,Rory
view-only,Moore,,Rory
viewonly,Moore,,Rory
christine,Smith,,James
cory.qa,Smith,,James
cristian.qa,Smith,,James
curriculum,Smith,,James
dana.qa,Smith,,James
erika.qa,Smith,,James
executeonly,Smith,,James
guardian,Smith,,James
highlevel,Smith,,James
juan.qa,Smith,,James
kim.qa,Smith,,James
lowlevel,Smith,,James
master.qa,Smith,,James
mediumlevel,Smith,,James
patrick,Smith,,James
priya.qa,Smith,,James
priya.user,Smith,,James
test,Smith,,James
test.12345,Smith,,James
usermanager,Smith,,James
view-only,Smith,,James
viewonly,Smith,,James
cory.qa,Johnson,,Lakisha
cristian.qa,Johnson,,Lakisha
curriculum,Johnson,,Lakisha
dana.qa,Johnson,,Lakisha
erika.qa,Johnson,,Lakisha
executeonly,Johnson,,Lakisha
highlevel,Johnson,,Lakisha
juan.qa,Johnson,,Lakisha
kim.qa,Johnson,,Lakisha
lowlevel,Johnson,,Lakisha
master.qa,Johnson,,Lakisha
mediumlevel,Johnson,,Lakisha
patrick,Johnson,,Lakisha
priya.qa,Johnson,,Lakisha
priya.user,Johnson,,Lakisha
test.12345,Johnson,,Lakisha
usermanager,Johnson,,Lakisha
view-only,Johnson,,Lakisha
viewonly,Johnson,,Lakisha
client.qa,Washington,,Jacob
cory.qa,Washington,,Jacob
cristian.qa,Washington,,Jacob
curriculum,Washington,,Jacob
dana.qa,Washington,,Jacob
erika.qa,Washington,,Jacob
executeonly,Washington,,Jacob
highlevel,Washington,,Jacob
jeff,Washington,,Jacob
kim.qa,Washington,,Jacob
lowlevel,Washington,,Jacob
master.qa,Washington,,Jacob
Max,Washington,,Jacob
mediumlevel,Washington,,Jacob
Pato,Washington,,Jacob
patrick,Washington,,Jacob
pri-lowlevel,Washington,,Jacob
priya.qa,Washington,,Jacob
usermanager,Washington,,Jacob
viewonly,Washington,,Jacob
12345,Graph,,Xander
assessment,Graph,,Xander
cory.qa,Graph,,Xander
cristian.qa,Graph,,Xander
cur.mang,Graph,,Xander
curriculum,Graph,,Xander
dana.qa,Graph,,Xander
erika.qa,Graph,,Xander
executeonly,Graph,,Xander
georgejohnson,Graph,,Xander
juan.qa,Graph,,Xander
kim.qa,Graph,,Xander
lowlevel,Graph,,Xander
master.qa,Graph,,Xander
patrick,Graph,,Xander
priya.qa,Graph,,Xander
usermanager,Graph,,Xander
cory.qa,Black,,Joseph
cristian.qa,Black,,Joseph
cur.man,Black,,Joseph
cur.mang,Black,,Joseph
curriculum,Black,,Joseph
erika.qa,Black,,Joseph
executeonly,Black,,Joseph
highlevel,Black,,Joseph
jeff,Black,,Joseph
juan.qa,Black,,Joseph
kim.qa,Black,,Joseph
master.qa,Black,,Joseph
mediumlevel,Black,,Joseph
new,Black,,Joseph
patrick,Black,,Joseph
priya.qa,Black,,Joseph
usermanager,Black,,Joseph
viewonly,Black,,Joseph
assessment,Correa,,Gabo
cristian.qa,Correa,,Gabo
cur.man,Correa,,Gabo
erika.qa,Correa,,Gabo
kim.qa,Correa,,Gabo
master.qa,Correa,,Gabo
patrick,Correa,,Gabo
priya.qa,Correa,,Gabo
cory.qa,Client,,Archive
cristian.qa,Client,,Inactivate
erika.qa,Client,,Inactivate
execute,Client,,Inactivate
kim.qa,Client,,Inactivate
master.qa,Client,,Inactivate
patrick,Client,,Inactivate
client.qa,Smith,,Michael
cristian.qa,Smith,,Michael
cur.mang,Smith,,Michael
erika.qa,Smith,,Michael
execute,Smith,,Michael
kim.qa,Smith,,Michael
master.qa,Smith,,Michael
patrick,Smith,,Michael
prathipc,Smith,,Michael
viewonly,Smith,,Michael
christine,Michaels,,Daniel
client.qa,Michaels,,Daniel
cory.qa,Michaels,,Daniel
cristian.qa,Michaels,,Daniel
cur.man,Michaels,,Daniel
curriculum,Michaels,,Daniel
dana.qa,Michaels,,Daniel
erika.qa,Michaels,,Daniel
execute,Michaels,,Daniel
executeonly,Michaels,,Daniel
highlevel,Michaels,,Daniel
jeff,Michaels,,Daniel
kim.qa,Michaels,,Daniel
master.qa,Michaels,,Daniel
Max,Michaels,,Daniel
Pato,Michaels,,Daniel
patrick,Michaels,,Daniel
prathipc,Michaels,,Daniel
pri-lowlevel,Michaels,,Daniel
usermanager,Michaels,,Daniel
cristian.qa,Client,,Test
master.qa,Client,,Test
prathipc,Client,,Test
pri-lowlevel,Client,,Test
client.qa,qerry,,tatum
cristian.qa,qerry,,tatum
master.qa,qerry,,tatum
prathipc,qerry,,tatum
pri-lowlevel,qerry,,tatum
priya.qa,qerry,,tatum
