last_name,middle_name,name,name1,description,execution_date,finish_date,status,id_assessment_execution,score_label,score_subcategory,score_value,id_section,title
Edwards,,Jack,"Social Skills Assessment","For ages 6-12","2017-05-23 20:19:07","2017-05-23 20:19:30",FINISHED,27,Percentage,NULL,100,396,Greetings
Edwards,,Jack,"Social Skills Assessment","For ages 6-12","2017-05-23 20:19:07","2017-05-23 20:19:30",FINISHED,27,Percentage,NULL,0,397,"Reciprocating questions"
Edwards,,Jack,"Social Skills Assessment","For ages 6-12","2017-06-30 21:26:31","2017-06-30 21:26:46",FINISHED,30,Percentage,NULL,100,396,Greetings
Edwards,,Jack,"Social Skills Assessment","For ages 6-12","2017-06-30 21:26:31","2017-06-30 21:26:46",FINISHED,30,Percentage,NULL,0,397,"Reciprocating questions"
Smith,,James,"EAFIT placement CEFR","This is a test assesment for eafit","2017-07-11 18:25:25","2017-07-11 18:25:38",FINISHED,35,Percentage,NULL,0,NULL,NULL
James,,Justin,"Social Skills Assessment","For ages 6-12","2017-07-13 17:54:41","2017-07-13 17:55:28",FINISHED,36,Percentage,NULL,0,396,Greetings
James,,Justin,"Social Skills Assessment","For ages 6-12","2017-07-13 17:54:41","2017-07-13 17:55:28",FINISHED,36,Percentage,NULL,100,397,"Reciprocating questions"
Michaels,,Daniel,"Test Assessment Yamil","Test Assessment Yamil","2017-03-21 16:27:58","2017-07-20 19:49:37",FINISHED,7,Percentage,NULL,60,NULL,NULL
Michaels,,Daniel,"Test Assessment Yamil","Test Assessment Yamil","2017-03-21 16:27:58","2017-07-20 19:49:37",FINISHED,7,Percentage,NULL,60,NULL,NULL
Michaels,,Daniel,"Test Assessment Yamil","Test Assessment Yamil","2017-03-21 16:27:58","2017-07-20 19:49:37",FINISHED,7,Percentage,NULL,60,NULL,NULL
Michaels,,Daniel,"Test Assessment Yamil","Test Assessment Yamil","2017-03-21 16:27:58","2017-07-20 19:49:37",FINISHED,7,Percentage,NULL,60,NULL,NULL
Graph,,Xander,"Holland Scale","The Holland Codes are a system of personality typology developed by psychologist John. L. Holland with the idea that people’s personalities are analogous to the types of occupations they prefer. The system measures people on six separate scales of which the three highest scores in order represent individuals type.

The original Holland Code test, called the Self-Directed Search, used forced choice preferences. This test use the public domain RIASEC markers from the Interest Item Pool.

","2017-07-20 21:44:17","2017-07-21 03:17:27",FINISHED,41,E,NULL,2.0258,NULL,NULL
Graph,,Xander,"Holland Scale","The Holland Codes are a system of personality typology developed by psychologist John. L. Holland with the idea that people’s personalities are analogous to the types of occupations they prefer. The system measures people on six separate scales of which the three highest scores in order represent individuals type.

The original Holland Code test, called the Self-Directed Search, used forced choice preferences. This test use the public domain RIASEC markers from the Interest Item Pool.

","2017-07-20 21:44:17","2017-07-21 03:17:27",FINISHED,41,I,NULL,4.993,NULL,NULL
Graph,,Xander,"Holland Scale","The Holland Codes are a system of personality typology developed by psychologist John. L. Holland with the idea that people’s personalities are analogous to the types of occupations they prefer. The system measures people on six separate scales of which the three highest scores in order represent individuals type.

The original Holland Code test, called the Self-Directed Search, used forced choice preferences. This test use the public domain RIASEC markers from the Interest Item Pool.

","2017-07-20 21:44:17","2017-07-21 03:17:27",FINISHED,41,C,NULL,1.3788,NULL,NULL
Graph,,Xander,"Holland Scale","The Holland Codes are a system of personality typology developed by psychologist John. L. Holland with the idea that people’s personalities are analogous to the types of occupations they prefer. The system measures people on six separate scales of which the three highest scores in order represent individuals type.

The original Holland Code test, called the Self-Directed Search, used forced choice preferences. This test use the public domain RIASEC markers from the Interest Item Pool.

","2017-07-20 21:44:17","2017-07-21 03:17:27",FINISHED,41,R,NULL,-3.6905,NULL,NULL
Graph,,Xander,"Holland Scale","The Holland Codes are a system of personality typology developed by psychologist John. L. Holland with the idea that people’s personalities are analogous to the types of occupations they prefer. The system measures people on six separate scales of which the three highest scores in order represent individuals type.

The original Holland Code test, called the Self-Directed Search, used forced choice preferences. This test use the public domain RIASEC markers from the Interest Item Pool.

","2017-07-20 21:44:17","2017-07-21 03:17:27",FINISHED,41,A,NULL,2.9051,NULL,NULL
Graph,,Xander,"Holland Scale","The Holland Codes are a system of personality typology developed by psychologist John. L. Holland with the idea that people’s personalities are analogous to the types of occupations they prefer. The system measures people on six separate scales of which the three highest scores in order represent individuals type.

The original Holland Code test, called the Self-Directed Search, used forced choice preferences. This test use the public domain RIASEC markers from the Interest Item Pool.

","2017-07-20 21:44:17","2017-07-21 03:17:27",FINISHED,41,S,NULL,3.443,NULL,NULL
Johnson,,Lakisha,"Holland Scale","The Holland Codes are a system of personality typology developed by psychologist John. L. Holland with the idea that people’s personalities are analogous to the types of occupations they prefer. The system measures people on six separate scales of which the three highest scores in order represent individuals type.

The original Holland Code test, called the Self-Directed Search, used forced choice preferences. This test use the public domain RIASEC markers from the Interest Item Pool.

","2017-07-20 23:08:40","2017-07-21 03:26:56",FINISHED,42,E,NULL,-1.096,NULL,NULL
Johnson,,Lakisha,"Holland Scale","The Holland Codes are a system of personality typology developed by psychologist John. L. Holland with the idea that people’s personalities are analogous to the types of occupations they prefer. The system measures people on six separate scales of which the three highest scores in order represent individuals type.

The original Holland Code test, called the Self-Directed Search, used forced choice preferences. This test use the public domain RIASEC markers from the Interest Item Pool.

","2017-07-20 23:08:40","2017-07-21 03:26:56",FINISHED,42,S,NULL,0.9503,NULL,NULL
Johnson,,Lakisha,"Holland Scale","The Holland Codes are a system of personality typology developed by psychologist John. L. Holland with the idea that people’s personalities are analogous to the types of occupations they prefer. The system measures people on six separate scales of which the three highest scores in order represent individuals type.

The original Holland Code test, called the Self-Directed Search, used forced choice preferences. This test use the public domain RIASEC markers from the Interest Item Pool.

","2017-07-20 23:08:40","2017-07-21 03:26:56",FINISHED,42,C,NULL,0.791,NULL,NULL
Johnson,,Lakisha,"Holland Scale","The Holland Codes are a system of personality typology developed by psychologist John. L. Holland with the idea that people’s personalities are analogous to the types of occupations they prefer. The system measures people on six separate scales of which the three highest scores in order represent individuals type.

The original Holland Code test, called the Self-Directed Search, used forced choice preferences. This test use the public domain RIASEC markers from the Interest Item Pool.

","2017-07-20 23:08:40","2017-07-21 03:26:56",FINISHED,42,R,NULL,-3.6905,NULL,NULL
Johnson,,Lakisha,"Holland Scale","The Holland Codes are a system of personality typology developed by psychologist John. L. Holland with the idea that people’s personalities are analogous to the types of occupations they prefer. The system measures people on six separate scales of which the three highest scores in order represent individuals type.

The original Holland Code test, called the Self-Directed Search, used forced choice preferences. This test use the public domain RIASEC markers from the Interest Item Pool.

","2017-07-20 23:08:40","2017-07-21 03:26:56",FINISHED,42,A,NULL,-0.3728,NULL,NULL
